,Date,Senti_KS,Senti_FS,Senti_neutral
0,2018-09-16,-0.16040773584905654,0.0217737976782751,-0.11441765893037338
1,2018-09-17,-0.12019146514935995,-0.05350831595411883,-0.09395699115044254
2,2018-09-18,-0.11417959866220738,-0.06381500655307987,-0.11705870178739416
3,2018-09-19,-0.0835662751677853,-0.058267668008671426,-0.10545457038391226
4,2018-09-20,-0.11003691588785064,-0.04169376283367555,-0.10851767169179218
5,2018-09-21,-0.10666422893481718,-0.20062549933422041,-0.08981666666666667
6,2018-09-22,-0.16447809364548474,-0.06307856166256487,-0.07112793040293044
7,2018-09-23,-0.06490745341614913,-0.02433214871514485,-0.09043434903047086
8,2018-09-24,-0.08971276923076923,-0.10769539711191346,-0.06612026515151517
9,2018-09-25,-0.04236091160220994,0.0013707923228345124,-0.029332263978001826
10,2018-09-26,-0.10546968011126559,-0.09091208764155577,-0.11213683319220988
11,2018-09-27,-0.08129938650306744,-0.08832863636363657,-0.034302512963701674
12,2018-09-28,-0.021356448598130847,0.012781334780249577,-0.024941017653167183
13,2018-09-29,-0.048518301610541756,-0.04343043935806364,-0.025371466384330337
14,2018-09-30,-0.045889917231000714,0.05532890455531496,-0.042732089933571804
15,2018-10-01,-0.07007551319648078,-0.055355798090040924,-0.026993797606093557
16,2018-10-02,-0.06994441535776616,-0.03955160211758138,-0.059722547227300395
